start_id,end_id
5,74348
5,255187
5,257477
5,213626
5,33006
5,181021
9,101205
14,20366
31,7793
50,84432
50,200836
50,131372
50,60586
54,107177
55,55
68,121412
69,105300
69,180642
69,52640
70,109267
72,137623
72,57106
72,62100
92,136712
92,1505
113,56597
113,176651
113,251284
120,136712
120,1505
128,128
133,133
151,151
152,45665
152,46581
152,10324
152,27391
180,149500
185,245667
185,29660
185,141119
185,11466
185,185
185,94961
196,93448
196,206138
211,241854
217,50122
217,9066
217,150833
223,223
228,190508
231,254830
234,37486
234,126857
234,9362
234,72380
234,133174
234,97110
234,165710
234,29628
234,3275
234,911
234,154695
234,102777
234,1245
234,87015
234,55209
234,104630
234,17074
234,230650
235,190508
267,132559
267,22455
267,24514
267,250368
271,136712
271,1505
281,199361
281,157181
281,53227
281,103869
281,107136
281,65956
281,60297
281,144155
281,219564
281,64011
281,80276
281,232650
281,191455
281,25123
281,466
281,20951
281,53008
281,20423
281,236863
281,69617
281,64934
281,80711
281,176297
281,155475
281,7656
281,31402
281,229578
281,131297
281,201604
281,94804
284,284
285,248250
285,20615
290,180245
320,124463
320,49655
320,156665
320,130365
320,98276
331,18249
332,332
333,333
336,88271
336,6355
336,463
336,3637
336,3889
338,40571
338,338
340,340
348,136712
348,1505
355,136712
355,1505
371,18053
372,136712
372,1505
375,190508
379,46678
379,167448
379,19563
379,19392
379,163846
379,226675
379,92841
379,238343
379,205802
379,240911
388,193539
394,16120
415,212284
425,170389
425,221135
427,427
432,2376
432,18714
432,136712
432,1505
436,121412
439,9006
439,140949
452,2938
452,104248
452,61059
452,253443
463,336
463,205603
463,3637
466,199361
466,157181
466,53227
466,103869
466,107136
466,65956
466,144155
466,219564
466,64011
466,80276
466,232650
466,191455
466,25123
466,466
466,20951
466,53008
466,20423
466,236863
466,69617
466,64934
466,80711
466,176297
466,155475
466,7656
466,31402
466,229578
466,131297
466,201604
466,94804
477,56385
477,74367
477,5695
481,126746
485,136712
485,1505
487,136712
487,1505
489,202702
489,32158
489,10483
489,34904
489,71144
489,34699
489,489
511,511
518,47536
518,68478
518,16287
518,79275
523,66972
525,525
525,76634
531,237813
534,95002
538,149802
540,28249
540,5174
540,21648
540,26448
540,4769
540,16650
540,39232
540,39715
540,6063
540,902
540,68578
540,12175
540,3587
540,1986
540,20508
540,4098
540,6099
540,79166
540,224
540,36547
540,24445
540,20386
540,19794
540,24550
540,1558
540,184223
553,553
554,16120
574,22852
574,47887
574,574
575,16120
583,583
588,35980
588,588
588,32614
619,121412
621,220990
621,136391
621,222118
621,621
621,1784
622,136712
622,1505
660,660
664,82187
665,136712
665,1505
666,88116
680,259195
680,65858
680,241381
680,91011
680,72169
681,180245
683,683
691,153119
691,691
694,123502
709,136712
709,1505
725,262812
725,163261
734,25196
735,12335
735,136712
735,1505
754,754
757,29660
757,141119
757,253946
759,52557
759,121431
762,179507
762,32583
762,762
768,68160
771,73289
771,40076
779,68160
784,197826
791,791
791,231566
791,90315
801,801
809,178390
809,22936
809,809
809,186663
809,1340
809,78259
819,136712
819,1505
828,828
844,844
850,15780
872,57493
872,199891
874,874
883,883
883,146090
883,100832
887,243447
887,123339
887,227718
887,887
887,178446
887,88796
887,140885
901,901
902,28249
902,3384
902,21648
902,26448
902,4769
902,16650
902,540
902,6063
902,12175
902,3587
902,1986
902,4098
902,6099
902,36547
902,24445
902,20386
902,19794
902,24550
902,1558
902,184223
909,137623
909,57106
909,62100
910,30667
910,34343
910,137986
910,5749
911,29628
911,37486
911,911
911,154695
911,102777
911,1245
911,55209
911,9362
911,17074
919,57348
921,921
922,136712
922,1505
939,165501
951,951
954,162892
954,954
955,955
964,6344
964,161549
964,66809
964,72055
964,151477
964,143871
964,129538
964,964
964,241773
964,61111
964,38564
964,64179
964,243009
964,258611
968,968
970,28374
970,50492
970,66391
970,45681
970,20569
970,163353
970,970
986,218304
986,83911
986,31123
1003,136712
1003,1505
1018,1018
1022,34615
1022,179492
1022,61059
1034,136712
1034,1505
1035,31162
1035,21983
1035,1035
1035,3234
1039,198576
1043,8881
1050,1050
1059,159809
1059,214464
1059,126792
1061,1061
1062,213764
1062,208928
1062,35612
1062,5478
1062,1062
1064,174222
1066,191678
1071,137623
1071,57106
1071,62100
1073,1055
1079,162892
1079,80537
1083,1083
1084,190508
1088,1088
1088,103020
1088,142828
1093,220990
1093,136391
1093,222118
1093,195506
1093,1784
1093,1093
1096,1096
1107,31865
1107,104248
1107,61059
1107,121412
1107,1107
1118,90786
1118,74593
1118,154163
1118,88951
1118,203766
1118,148398
1118,96506
1118,138033
1118,151176
1118,154397
1118,76399
1118,70417
1118,247472
1118,100339
1118,178084
1118,88900
1118,31701
1118,205192
1118,247914
1118,228381
1118,152075
1118,99593
1120,197219
1120,164481
1120,164493
1120,164507
1120,62613
1120,42947
1120,164476
1120,164435
1120,197305
1120,164451
1128,136712
1128,1505
1134,137622
1138,37486
1138,126857
1138,9362
1138,72380
1138,133174
1138,97110
1138,165710
1138,29628
1138,3275
1138,911
1138,154695
1138,102777
1138,1245
1138,87015
1138,55209
1138,104630
1138,17074
1138,230650
1144,1144
1144,63618
1150,1150
1150,22690
1150,252172
1156,57493
1160,113229
1160,1160
1163,1163
1169,1169
1177,1177
1180,1180
1195,256715
1195,182607
1195,68456
1195,175458
1195,143755
1195,118566
1195,104355
1195,88963
1195,14402
1195,223120
1195,190543
1195,53004
1195,3876
1195,247082
1195,20878
1195,106923
1195,137475
1195,177341
1195,244859
1195,205291
1195,169951
1195,198577
1195,151085
1195,155331
1195,8891
1195,37488
1199,1199
1199,145839
1199,46608
1206,160535
1206,225417
1209,1209
1213,1213
1216,236727
1223,10190
1223,260347
1223,8296
1223,79455
1223,83953
1223,195263
1223,217072
1223,180243
1223,241464
1223,159878
1223,9460
1223,170513
1223,35766
1223,253835
1223,248110
1223,57580
1223,133291
1223,31061
1223,177584
1223,143376
1223,192420
1223,113501
1223,232109
1223,246405
1223,124479
1223,105625
1223,255890
1223,149873
1223,1223
1223,189315
1223,3634
1223,180502
1223,241308
1223,240099
1223,144443
1236,215014
1239,170036
1239,97233
1239,20803
1239,195632
1239,1239
1239,154824
1239,173680
1239,28273
1239,103792
1245,17074
1245,102777
1248,221143
1248,229952
1253,71988
1253,84310
1253,66492
1253,170802
1253,66698
1253,239476
1253,244649
1253,12548
1253,239429
1255,124463
1255,49655
1255,156665
1255,130365
1255,98276
1266,244871
1266,137623
1266,57106
1266,62100
1268,1268
1270,1270
1271,88155
1273,1273
1273,98601
1276,1276
1280,1280
1281,210011
1281,12671
1281,85324
1281,95815
1306,137622
1307,146083
1307,75524
1315,1315
1319,132559
1333,247557
1333,1333
1334,1334
1336,1336
1340,178390
1340,22936
1340,809
1340,186663
1340,84240
1344,1344
1348,158267
1354,1354
1355,27510
1355,35152
1364,4798
1364,77105
1368,28249
1368,3384
1368,21648
1368,26448
1368,4769
1368,16650
1368,540
1368,6063
1368,902
1368,12175
1368,3587
1368,1986
1368,4098
1368,6099
1368,36547
1368,24445
1368,20386
1368,19794
1368,24550
1368,1558
1368,184223
1370,1370
1374,21748
1374,104845
1374,42231
1374,98499
1374,43249
1378,57493
1378,199891
1385,254057
1396,153260
1397,85080
1397,1397
1398,35243
1398,127296
1405,212583
1407,1407
1430,1430
1431,184100
1436,1436
1441,1441
1442,2938
1442,104248
1442,61059
1442,253443
1448,181854
1448,1448
1452,136712
1452,1505
1455,199891
1456,180692
1456,232960
1456,112283
1456,71605
1456,44744
1456,39526
1456,160814
1456,181230
1456,57528
1463,1463
1470,50122
1470,9066
1470,150833
1486,100832
1489,16120
1490,58862
1491,90037
1491,124441
1491,221321
1491,245872
1491,127769
1491,179322
1491,48275
1491,192028
1491,1491
1491,137132
1491,126964
1491,127531
1491,207167
1491,25694
1491,87153
1491,182012
1491,44811
1491,164814
1491,105740
1491,231161
1491,129473
1491,240352
1491,228075
1491,234343
1491,147289
1491,127823
1491,2446
1491,147821
1491,68041
1491,109053
1491,248038
1491,180616
1491,196367
1491,38483
1491,146090
1491,100832
1491,50213
1491,56143
1491,179677
1491,162431
1491,245915
1491,103313
1492,1492
1504,1504
1505,2376
1505,18714
1505,136712
1505,1505
1506,20366
1509,152716
1511,1511
1523,1523
1526,63272
1526,111705
1526,206466
1526,134754
1538,9066
1538,50122
1538,150833
1546,28316
1546,55833
1546,149125
1550,20366
1556,1556
1558,28249
1558,3384
1558,21648
1558,26448
1558,4769
1558,16650
1558,540
1558,6063
1558,902
1558,12175
1558,3587
1558,1986
1558,4098
1558,6099
1558,36547
1558,24445
1558,20386
1558,19794
1558,24550
1558,32861
1558,184223
1562,137623
1562,57106
1562,62100
1568,136712
1568,1505
1573,137133
1573,227186
1573,117616
1577,16120
1587,136712
1587,1505
1599,106702
1599,13650
1599,86539
1599,104864
1599,129663
1599,1599
1599,226748
1599,97543
1600,2234
1603,170389
1603,1603
1605,69409
1605,94127
1605,1605
1622,1622
1624,256715
1624,182607
1624,68456
1624,143755
1624,118566
1624,104355
1624,88963
1624,14402
1624,223120
1624,190543
1624,53004
1624,3876
1624,247082
1624,20878
1624,106923
1624,137475
1624,177341
1624,244859
1624,205291
1624,169951
1624,198577
1624,151085
1624,155331
1624,8891
1624,37488
1627,69019
1627,1627
1627,98919
1628,1628
1639,93658
1642,1642
1642,22852
1642,15125
1642,260152
1642,47887
1642,234795
1643,51824
1643,209445
1643,79754
1643,65307
1643,152374
1651,12696
1654,136712
1654,1505
1665,20366
1668,173461
1675,156934
1676,1676
1678,25196
1684,1978
1688,1978
1688,1688
1689,1689
1691,180245
1692,136712
1692,1505
1694,1694
1701,1978
1703,27814
1703,24641
1705,233331
1705,230458
1705,91446
1705,100664
1705,163871
1705,1705
1705,166731
1706,137623
1706,57106
1706,62100
1711,136712
1711,1505
1713,224033
1713,74065
1713,207560
1713,92134
1713,91599
1713,255602
1713,74824
1713,179267
1713,49441
1713,170057
